person_id,age,juv_fel_count,juv_misd_count,juv_other_count,"priors_count
",sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,"is_violent_recid
"
65,53.0,0.0,0.0,0.0,8.0,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
37,55.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
148,28.0,0.0,0.0,0.0,2.0,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
101,40.0,0.0,0.0,0.0,4.0,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
6,43.0,0.0,0.0,0.0,3.0,Male,Other,(F3),arrest case no charge,,,,,,,0,"0
"
4,43.0,0.0,0.0,0.0,2.0,Male,Other,(F7),arrest case no charge,,,,,,,0,"0
"
0,69.0,0.0,0.0,0.0,0.0,Male,Other,(F3),Aggravated Assault w/Firearm,,,,,,,0,"0
"
146,27.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,,,,,,,0,"0
"
56,51.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,,,,,,,0,"0
"
71,46.0,3.0,1.0,0.0,9.0,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,,,,,,,0,"0
"
138,47.0,0.0,0.0,0.0,2.0,Male,Hispanic,(F3),Grand Theft in the 3rd Degree,,,,,,,0,"0
"
80,45.0,0.0,0.0,0.0,6.0,Male,Hispanic,(F3),Possession of Cocaine,1,(M2),Operating W/O Valid License,,(M1),Battery,1,"1
"
107,25.0,0.0,0.0,0.0,9.0,Male,Caucasian,(F3),Pos Cannabis W/Intent Sel/Del,1,(M2),Driving License Suspended,,(M1),Battery,1,"1
"
33,33.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Tampering With Physical Evidence,3,(F3),False Imprisonment,,(M1),Battery,1,"1
"
1,34.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Felony Battery w/Prior Convict,3,(F3),Felony Battery (Dom Strang),,(F3),Felony Battery (Dom Strang),1,"1
"
119,59.0,0.0,0.0,0.0,14.0,Male,African-American,(F3),arrest case no charge,1,(F3),Aggravated Assault W/Dead Weap,,(F3),Aggravated Assault W/Dead Weap,1,"1
"
30,27.0,0.0,0.0,0.0,8.0,Male,African-American,(F3),Carrying Concealed Firearm,2,(M2),Driving License Suspended,,(F3),Felony Battery,1,"1
"
51,35.0,1.0,0.0,4.0,13.0,Male,African-American,(F3),Uttering a Forged Instrument,1,(MO3),DOC/Fighting/Threatening Words,,(MO3),DOC/Fighting/Threatening Words,1,"1
"
