person_id,age,juv_fel_count,juv_misd_count,juv_other_count,"priors_count
",sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,"is_violent_recid
"
94,41.0,0.0,0.0,0.0,1.0,Male,African-American,(M2),arrest case no charge,,,,,,,0,"0
"
29,44.0,0.0,0.0,0.0,8.0,Male,African-American,(M2),arrest case no charge,,,,,,,0,"0
"
103,35.0,0.0,0.0,0.0,1.0,Female,African-American,(M2),arrest case no charge,,,,,,,0,"0
"
43,21.0,0.0,0.0,0.0,2.0,Female,African-American,(F2),arrest case no charge,,,,,,,0,"0
"
102,25.0,0.0,0.0,0.0,10.0,Male,African-American,(F2),arrest case no charge,,,,,,,0,"0
"
68,33.0,0.0,0.0,0.0,2.0,Male,African-American,(F2),Agg Battery Grt/Bod/Harm,,,,,,,0,"0
"
140,52.0,0.0,0.0,0.0,3.0,Male,Caucasian,(M1),Battery,,,,,,,0,"0
"
95,50.0,0.0,0.0,0.0,0.0,Male,Caucasian,(M1),Battery,,,,,,,0,"0
"
14,22.0,0.0,0.0,0.0,0.0,Male,Caucasian,(M1),Battery,,,,,,,0,"0
"
42,29.0,0.0,0.0,0.0,0.0,Male,Caucasian,(M1),Possess Cannabis/20 Grams Or Less,,,,,,,0,"0
"
92,32.0,0.0,0.0,0.0,3.0,Male,Caucasian,(M1),Driving Under The Influence,,,,,,,0,"0
"
52,49.0,0.0,0.0,0.0,0.0,Male,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,,,,,,,0,"0
"
112,54.0,0.0,0.0,0.0,0.0,Female,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,,,,,,,0,"0
"
142,64.0,0.0,0.0,0.0,2.0,Female,Caucasian,(M1),Resist/Obstruct W/O Violence,,,,,,,0,"0
"
128,30.0,0.0,0.0,0.0,3.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,"0
"
59,30.0,0.0,0.0,1.0,3.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,"0
"
36,27.0,0.0,0.0,0.0,2.0,Male,Hispanic,(F3),Possession of Cocaine,,,,,,,0,"0
"
81,22.0,0.0,0.0,0.0,1.0,Male,Hispanic,(F3),Burglary Structure Unoccup,,,,,,,0,"0
"
76,62.0,0.0,0.0,0.0,0.0,Male,Hispanic,(M2),Unlaw LicTag/Sticker Attach,,,,,,,0,"0
"
134,44.0,0.0,0.0,0.0,0.0,Male,Caucasian,(M2),Criminal Mischief Damage <$200,,,,,,,0,"0
"
26,43.0,0.0,0.0,0.0,1.0,Male,Caucasian,(M2),Susp Drivers Lic 1st Offense,,,,,,,0,"0
"
147,30.0,0.0,0.0,0.0,1.0,Male,Caucasian,(M2),Agg Fleeing and Eluding,,,,,,,0,"0
"
40,26.0,0.0,0.0,2.0,6.0,Male,Caucasian,(M2),Operating W/O Valid License,,,,,,,0,"0
"
25,42.0,0.0,0.0,0.0,1.0,Male,Caucasian,(F1),Trafficking In Methamphetamine,,,,,,,0,"0
"
111,66.0,0.0,0.0,0.0,3.0,Male,Caucasian,(F2),Flee/Elude LEO-Agg Flee Unsafe,,,,,,,0,"0
"
113,19.0,0.0,0.0,0.0,1.0,Male,African-American,(M2),Battery,5,(M1),Viol Injunction Protect Dom Violence,,(F3),Battery on Law Enforc Officer,1,"1
"
13,37.0,0.0,0.0,0.0,0.0,Female,Caucasian,(M1),Battery,,,,,,,0,"0
"
7,39.0,0.0,0.0,0.0,0.0,Female,Caucasian,(M1),Battery,,,,,,,0,"0
"
73,34.0,0.0,0.0,0.0,0.0,Female,Caucasian,(M1),Battery,,,,,,,0,"0
"
66,31.0,0.0,0.0,0.0,0.0,Female,Hispanic,(M1),Battery,,,,,,,0,"0
"
123,21.0,0.0,0.0,0.0,0.0,Female,African-American,(M1),Battery,,,,,,,0,"0
"
115,32.0,0.0,0.0,0.0,8.0,Female,African-American,(M1),Battery,,,,,,,0,"0
"
79,56.0,0.0,0.0,0.0,0.0,Female,African-American,(M1),Battery,,,,,,,0,"0
"
88,24.0,0.0,0.0,0.0,1.0,Female,Hispanic,(M2),DUI Property Damage/Injury,,,,,,,0,"0
"
149,37.0,0.0,0.0,0.0,2.0,Female,Other,(M2),Petit Theft,,,,,,,0,"0
"
121,24.0,0.0,0.0,0.0,0.0,Female,Other,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,"0
"
136,30.0,0.0,0.0,0.0,1.0,Female,Other,(F3),Crim Use of Personal ID Info,,,,,,,0,"0
"
55,28.0,0.0,0.0,0.0,0.0,Female,Other,(F3),Grand Theft in the 3rd Degree,,,,,,,0,"0
"
145,25.0,0.0,0.0,0.0,2.0,Female,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
31,36.0,0.0,0.0,0.0,3.0,Female,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
82,31.0,0.0,0.0,0.0,2.0,Female,Caucasian,(F3),Felony Driving While Lic Suspd,,,,,,,0,"0
"
137,31.0,0.0,0.0,0.0,1.0,Female,Caucasian,(F3),Grand Theft (Motor Vehicle),,,,,,,0,"0
"
9,26.0,0.0,0.0,0.0,0.0,Female,Caucasian,(F3),Possession Of Alprazolam,,,,,,,0,"0
"
22,21.0,0.0,0.0,0.0,0.0,Female,Caucasian,(F3),Introduce Contraband Into Jail,,,,,,,0,"0
"
109,20.0,0.0,0.0,0.0,0.0,Female,Caucasian,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,"0
"
118,39.0,0.0,0.0,0.0,1.0,Female,Caucasian,(F3),Possession of Morphine,,,,,,,0,"0
"
28,54.0,0.0,0.0,0.0,0.0,Female,African-American,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,"0
"
91,59.0,0.0,0.0,0.0,2.0,Female,African-American,(F3),arrest case no charge,,,,,,,0,"0
"
45,51.0,0.0,0.0,0.0,7.0,Female,African-American,(F3),Possession of Cocaine,,,,,,,0,"0
"
58,63.0,0.0,0.0,0.0,1.0,Female,Hispanic,(F1),arrest case no charge,,,,,,,0,"0
"
18,31.0,0.0,0.0,0.0,6.0,Male,Caucasian,(F3),Driving While License Revoked,3,(F3),Grand Theft in the 3rd Degree,,(F1),Kidnapping (Facilitate Felony),1,"1
"
129,33.0,0.0,0.0,0.0,5.0,Male,African-American,(F3),Poss Contr Subst W/o Prescript,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,"0
"
60,24.0,0.0,0.0,0.0,2.0,Male,African-American,(F3),Poss Tetrahydrocannabinols,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,"0
"
69,27.0,1.0,1.0,2.0,15.0,Male,African-American,(F3),Driving While License Revoked,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,"0
"
16,31.0,0.0,0.0,0.0,7.0,Male,African-American,(F3),Felony Driving While Lic Suspd,1,(M1),Criminal Mischief>$200<$1000,,,,1,"0
"
2,24.0,0.0,0.0,1.0,4.0,Male,African-American,(F3),Possession of Cocaine,1,(M1),Driving Under The Influence,,,,1,"0
"
132,41.0,0.0,1.0,0.0,10.0,Male,African-American,(F3),Possession of Cocaine,1,(M1),Resist/Obstruct W/O Violence,,,,1,"0
"
48,29.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Defrauding Innkeeper $300/More,1,(M1),Viol Injunct Domestic Violence,,,,1,"0
"
104,26.0,0.0,0.0,0.0,7.0,Male,Caucasian,(F3),Possession Burglary Tools,1,(M1),Resist/Obstruct W/O Violence,,,,1,"0
"
24,24.0,0.0,0.0,0.0,1.0,Male,Hispanic,(F3),Lewd/Lasc Battery Pers 12+/<16,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,"0
"
54,29.0,0.0,0.0,0.0,1.0,Male,Caucasian,(F3),Possession of Oxycodone,2,(M1),Driving Under The Influence,,,,1,"0
"
105,21.0,0.0,0.0,0.0,1.0,Male,Other,(F3),Grand Theft in the 3rd Degree,2,(M1),Possess Drug Paraphernalia,,,,1,"0
"
19,31.0,0.0,0.0,0.0,5.0,Male,Caucasian,(F3),Possession Of Heroin,2,(F3),Possession of Cocaine,,,,1,"0
"
